symbol,frequency,source,status,bars,start,end,timezone,columns,duplicate_timestamps,missing_close,max_gap_hours,caveats
EURUSD,H4,Dukascopy BID via dukascopy-python,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
GBPUSD,H4,Dukascopy BID via dukascopy-python,ok,13422,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDJPY,H4,Dukascopy BID via dukascopy-python,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDCHF,H4,Dukascopy BID via dukascopy-python,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
USDCAD,H4,Dukascopy BID via dukascopy-python,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
AUDUSD,H4,Dukascopy BID via dukascopy-python,ok,13423,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
NZDUSD,H4,Dukascopy BID via dukascopy-python,ok,13421,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,72.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
XAUUSD,H4,Dukascopy BID via dukascopy-python,ok,13323,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,76.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
BTCUSD,H4,Dukascopy BID via dukascopy-python,ok,17486,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,52.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
ETHUSD,H4,Dukascopy BID via dukascopy-python,ok,17473,2018-01-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,UTC requested; timestamp index from provider,"['open', 'high', 'low', 'close', 'volume']",0,0,56.0,BID-only OHLC; no broker-specific swap/commission history; weekend/holiday gaps expected.
